year, brain_cc
-3197985,	395
-3197985,	387.5
-3197985,	317.5
-3197985,	365
-3197985,	492.5
-2947985,	500
-2897985,	575
-2897985,	387.5
-2897985,	446.6666667
-2497985,	570.7333333
-2497985,	410
-2497985,	510.6666667
-2497985,	286
-2497985,	428
-2497985,	442.5
-2497985,	486.9
-2497985,	449.5
-2497985,	524.7
-2497985,	412.5
-2497985,	362.5
-2497985,	450
-2247985,	490
-1997985,	484.5
-1997985,	529.5
-1997985,	625
-1897985,	491
-1897985,	712.5
-1897985,	595
-1897985,	600
-1897985,	475
-1897985,	575
-1897985,	475
-1897985,	501.6666667
-1897985,	507
-1897985,	570
-1887985,	776
-1887985,	506.3333333
-1887985,	622.5
-1847985,	616
-1797985,	777.5
-1797985,	650
-1797985,	855
-1797985,	586
-1797985,	447.5
-1777985,	825.4
-1777985,	679
-1767985,	588
-1667985,	639.2
-1657985,	662.2857143
-1657985,	1000
-1637985,	518.3333333
-1637985,	508
-1637985,	503
-1597985,	904.5
-1567985,	825.6666667
-1547985,	540
-1417985,	545
-1197985,	1070.5
-1197985,	856
-1147985,	779
-997985,	856
-897985,	874.1
-897985,	792.5714286
-897985,	900
-897985,	951
-897985,	1020
-847985,	868.6
-837985,	732.3333333
-697985,	1185
-597985,	1275
-497985,	1056.333333
-397985,	1138.666667
-397985,	911
-397985,	1030
-397985,	1220
-397985,	1225
-397985,	1015
-397985,	1030
-347985,	1310
-347985,	1100
-347985,	1216.666667
-347985,	1100
-297985,	1390
-297985,	1125
-297985,	1266.555556
-297985,	1111.192308
-297985,	1305
-297985,	850
-297985,	1249.333333
-267985,	1400
-247985,	1000
-247985,	1025
-202985,	1160
-200985,	1450
-197985,	1121.428571
-197985,	1266.166667
-197985,	1115.714286
-197985,	1135
-197985,	1143
-197985,	1075
-197985,	900
-184985,	1316.666667
-183985,	1334.571429
-175985,	1200
-157985,	1420
-148985,	1065
-147985,	1280
-147985,	1337.5
-127985,	1450
-127985,	1200
-127985,	1400
-127985,	1432.5
-122985,	1283.5
-97985,	1426.25
-97985,	1377.5
-97985,	1300
-97985,	1234.333333
-97985,	1295
-97985,	1270.5
-90985,	1280
-90985,	1559.333333
-87985,	1300
-87985,	1554.5
-87985,	1499.5
-87985,	1587.333333
-69985,	1478.5
-65985,	1650.2
-64985,	1480
-57985,	1226.75
-57985,	1581
-52985,	1551
-48985,	1745
-47985,	1337.75
-47985,	1320
-47985,	1609.333333
-47985,	1342.25
-47985,	1650
-47985,	1550
-47985,	1300
-47985,	1305
-47985,	1529
-47985,	1553
-47985,	1305
-47985,	1464.5
-47985,	1553
-47985,	1650
-37985,	1400
-37985,	1486.2
-32985,	1235
-32985,	1573
-32985,	1390
-32985,	1575
-30985,	1420
-27985,	1615.8
-27985,	1402
-27985,	1730
-25985,	1745
-25985,	1446.5
-25985,	1540
-24985,	1531
-24985,	1500
-24985,	1380
-24985,	1295
-24985,	1452
-24985,	1594
-24985,	1422.666667
-24985,	1555
-23985,	1307.5
-23985,	1522
-22985,	1440
-22985,	1650
-18985,	1380
-17985,	1734.857143
-16985,	1814
-16985,	1490
-15985,	1390
-15985,	1170
-15985,	1090
-15985,	1600
-15985,	1250
-15985,	1543
-13985,	1125
-12985,	1230
-12985,	1540
-12985,	1539.333333
-12985,	1650
-12985,	1354
-12985,	1540
-11985,	1575
-10985,	1647.5
-10985,	1528.5
-9985,	1555
-9985,	1434
-9985,	1500
-9985,	1338
-9985,	1335
-9985,	1500
-8985,	1565
-8985,	1569
-8985,	1560
-8985,	1484
-8985,	1414
-8985,	1424
-8985,	1520
-8985,	1661
-8985,	1500
-8985,	1420
-8985,	1480
-7985,	1430
-7985,	1355
-7985,	1500
-7985,	1470
-7985,	1530
-7985,	1540
-7985,	1210
